brand,category,gender,image_url,original_price,price,sku,title,url,variants
Nike,Apparel,Women,https://static.nike.com/a/images/t_default/35291de8-53b4-4820-a738-e1e7d1bb6117/W+NP+DF+365+MR+TIGHT+USM.png,44.99,44.99,IQ0886-570,Nike Pro,https://www.nike.com/it/t/leggings-a-vita-media-a-tutta-lunghezza-pro-dBITGl2q/IQ0886-570,"{'XS (IT 36-38)': {'availability': True, 'price': 44.99}, 'S (IT 40-42)': {'availability': True, 'price': 44.99}, 'M (IT 44-46)': {'availability': True, 'price': 44.99}, 'L (IT 48-50)': {'availability': True, 'price': 44.99}, 'XL (IT 52-54)': {'availability': True, 'price': 44.99}, 'XXL (IT 56-58)': {'availability': True, 'price': 44.99}}"
Nike,Apparel,Women,https://static.nike.com/a/images/t_default/e1988bda-b649-4565-8f90-ee158152744f/W+NP+DF+365+MR+3IN+SHORT+USM.png,29.99,29.99,IQ1037-570,Nike Pro,https://www.nike.com/it/t/shorts-da-ciclista-8-cm-a-vita-media-pro-N9D4uOSw/IQ1037-570,"{'XS (IT 36-38)': {'availability': False, 'price': 29.99}, 'S (IT 40-42)': {'availability': False, 'price': 29.99}, 'M (IT 44-46)': {'availability': False, 'price': 29.99}, 'L (IT 48-50)': {'availability': True, 'price': 29.99}, 'XL (IT 52-54)': {'availability': True, 'price': 29.99}, 'XXL (IT 56-58)': {'availability': False, 'price': 29.99}}"
Nike,Apparel,Women,https://static.nike.com/a/images/t_default/283a7c81-7a57-4d4d-a00a-d08b4675a3fc/W+NK+24.7+DF+HR+WD+LEG+PANT.png,109.99,109.99,HM8389-010,Nike 24.7 PerfectStretch,https://www.nike.com/it/t/pantaloni-ampi-a-gamba-larga-e-vita-alta-247-perfectstretch-dri-fit-C9tewF7c/HM8389-010,"{'XXS': {'availability': False, 'price': 109.99}, 'XS (IT 36-38)': {'availability': True, 'price': 109.99}, 'XS Tall': {'availability': False, 'price': 109.99}, 'S (IT 40-42)': {'availability': True, 'price': 109.99}, 'M (IT 44-46)': {'availability': True, 'price': 109.99}, 'L (IT 48-50)': {'availability': True, 'price': 109.99}, 'XL (IT 52-54)': {'availability': True, 'price': 109.99}, 'XL Tall': {'availability': False, 'price': 109.99}, 'XXL (IT 56-58)': {'availability': True, 'price': 109.99}}"
Nike,Apparel,Women,https://static.nike.com/a/images/t_default/ecad0afe-f673-49fe-9b21-780df1aa6294/W+NK+DF+ONE+HR+TIGHT+USEAM.png,49.99,49.99,HJ9195-413,Nike One Seamless Front,https://www.nike.com/it/t/leggings-a-tutta-lunghezza-a-vita-alta-one-seamless-front-q30DoNdU/HJ9195-413,"{'XXS': {'availability': False, 'price': 49.99}, 'XS (IT 36-38)': {'availability': True, 'price': 49.99}, 'S (IT 40-42)': {'availability': True, 'price': 49.99}, 'M (IT 44-46)': {'availability': True, 'price': 49.99}, 'L (IT 48-50)': {'availability': True, 'price': 49.99}, 'XL (IT 52-54)': {'availability': True, 'price': 49.99}, 'XXL (IT 56-58)': {'availability': True, 'price': 49.99}}"
Nike,Apparel,Women,https://static.nike.com/a/images/t_default/afdd2858-2291-455a-8431-79e2a1b2fa98/NIKE+PRO+DF+365+CROP+TANK.png,34.99,34.99,FZ3615-010,Nike Pro,https://www.nike.com/it/t/canotta-corta-dri-fit-pro-1v2jrbEq/FZ3615-010,"{'XXS': {'availability': True, 'price': 34.99}, 'XS (IT 36-38)': {'availability': True, 'price': 34.99}, 'XS Tall': {'availability': False, 'price': 34.99}, 'S (IT 40-42)': {'availability': True, 'price': 34.99}, 'S Tall': {'availability': False, 'price': 34.99}, 'M (IT 44-46)': {'availability': True, 'price': 34.99}, 'M Tall': {'availability': False, 'price': 34.99}, 'L (IT 48-50)': {'availability': True, 'price': 34.99}, 'L Tall': {'availability': True, 'price': 34.99}, 'XL (IT 52-54)': {'availability': True, 'price': 34.99}, 'XL Tall': {'availability': True, 'price': 34.99}, 'XXL (IT 56-58)': {'availability': True, 'price': 34.99}}"
Nike,Apparel,Women,https://static.nike.com/a/images/t_default/ba1d1942-473d-44b6-9d80-6de15d320931/W+NSW+PHNX+FLC+OOS+PO+HOODIE.png,64.99,64.99,DQ5858-323,Nike Sportswear Phoenix Fleece,https://www.nike.com/it/t/felpa-pullover-ultraoversize-con-cappuccio-sportswear-phoenix-fleece-08EDt9LR/DQ5858-323,"{'XS (IT 36-38)': {'availability': True, 'price': 64.99}, 'S (IT 40-42)': {'availability': True, 'price': 64.99}, 'M (IT 44-46)': {'availability': True, 'price': 64.99}, 'L (IT 48-50)': {'availability': True, 'price': 64.99}, 'XL (IT 52-54)': {'availability': True, 'price': 64.99}, 'XXL (IT 56-58)': {'availability': False, 'price': 64.99}}"
Nike,Apparel,Women,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b1ce3d4a-f624-4409-98a0-a77097768d9c/W+NSKM+WEIGHTLESS+VPL+TGT+26IN.png",94.99,94.99,IU8311-054,NikeSKIMS Weightless Layers,https://www.nike.com/it/t/leggings-a-vita-alta-con-inserto-a-v-nikeskims-weightless-layers-mrkZDixP/IU8311-054,"{'XXS': {'availability': True, 'price': 94.99}, 'XS': {'availability': True, 'price': 94.99}, 'S': {'availability': True, 'price': 94.99}, 'M': {'availability': True, 'price': 94.99}, 'L': {'availability': True, 'price': 94.99}, 'XL': {'availability': True, 'price': 94.99}, '2X': {'availability': True, 'price': 94.99}, '3X': {'availability': True, 'price': 94.99}, '4X': {'availability': True, 'price': 94.99}}"
Nike,Apparel,Women,https://static.nike.com/a/images/t_default/ad3a5b1a-7925-4bc6-840a-bee39b761366/W+NSW+NK+WR+WVN+HR+OH+PANT.png,79.99,79.99,FV7655-010,Nike Windrunner,https://www.nike.com/it/t/pantaloni-in-tessuto-a-vita-alta-con-bordo-aperto-windrunner-LZ7ZBDfH/FV7655-010,"{'XS (IT 36-38)': {'availability': True, 'price': 79.99}, 'S (IT 40-42)': {'availability': True, 'price': 79.99}, 'M (IT 44-46)': {'availability': True, 'price': 79.99}, 'L (IT 48-50)': {'availability': True, 'price': 79.99}, 'XL (IT 52-54)': {'availability': True, 'price': 79.99}, 'XXL (IT 56-58)': {'availability': True, 'price': 79.99}}"
Nike,Apparel,Women,https://static.nike.com/a/images/t_default/1b734a77-2899-431b-98ac-86f53f09138b/W+NK+INF+DF+FZ+LS+TOP.png,89.99,89.99,FV7423-010,Nike Zenvy,https://www.nike.com/it/t/maglia-a-manica-lunga-dri-fit-con-zip-a-tutta-lunghezza-zenvy-KimbvzKd/FV7423-010,"{'XXS': {'availability': True, 'price': 89.99}, 'XS (IT 36-38)': {'availability': True, 'price': 89.99}, 'S (IT 40-42)': {'availability': True, 'price': 89.99}, 'M (IT 44-46)': {'availability': True, 'price': 89.99}, 'L (IT 48-50)': {'availability': True, 'price': 89.99}, 'L Tall': {'availability': True, 'price': 89.99}, 'XL (IT 52-54)': {'availability': True, 'price': 89.99}, 'XL Tall': {'availability': True, 'price': 89.99}, 'XXL (IT 56-58)': {'availability': True, 'price': 89.99}, 'XXL Tall': {'availability': False, 'price': 89.99}}"
Nike,Apparel,Women,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/30ee731e-e6bc-469c-8ab7-197182de257e/W+NSKM+STRECH+KNIT+WL+PNT.png",104.99,104.99,IR5088-662,NikeSKIMS Stretch Knit,https://www.nike.com/it/t/pantaloni-palazzo-nikeskims-stretch-knit-UwrbOJCb/IR5088-662,"{'XXS': {'availability': True, 'price': 104.99}, 'XS': {'availability': True, 'price': 104.99}, 'S': {'availability': True, 'price': 104.99}, 'M': {'availability': True, 'price': 104.99}, 'L': {'availability': True, 'price': 104.99}, 'XL': {'availability': True, 'price': 104.99}, '2X': {'availability': True, 'price': 104.99}, '3X': {'availability': True, 'price': 104.99}, '4X': {'availability': True, 'price': 104.99}}"
