brand,category,gender,image_url,original_price,price,sku,title,url,variants
Sergio Tacchini,Apparel,Men,https://asset.snipes.com/images/02513725_1/sergio-tacchini-cesena-tracksuit-nero-89291,149.99,100.0,41174-2005-BLK/WHT,Cesena Tracksuit,https://www.snipes.com/it-it/p/sergio-tacchini-cesena-tracksuit-nero-89291,"{'S': {'availability': True, 'price': 100.0}, 'M': {'availability': True, 'price': 100.0}, 'L': {'availability': False, 'price': 100.0}, 'XL': {'availability': True, 'price': 100.0}}"
adidas Originals,Apparel,Men,https://asset.snipes.com/images/02517313_1/adidas-originals-hockey-jersey-verde-84498,79.99,79.99,JV8467,Hockey Jersey,https://www.snipes.com/it-it/p/adidas-originals-hockey-jersey-verde-84498,"{'S': {'availability': True, 'price': 79.99}, 'M': {'availability': True, 'price': 79.99}, 'L': {'availability': True, 'price': 79.99}, 'XL': {'availability': True, 'price': 79.99}}"
Lacoste,Apparel,Men,https://asset.snipes.com/images/02500838_1/lacoste-t-shirt-verde-49351,54.99,54.99,TH5514-00-6IC,T-Shirt,https://www.snipes.com/it-it/p/lacoste-t-shirt-verde-49351,"{'S': {'availability': True, 'price': 54.99}, 'M': {'availability': True, 'price': 54.99}, 'L': {'availability': True, 'price': 54.99}, 'XL': {'availability': True, 'price': 54.99}}"
Another Cotton Lab,Apparel,Men,https://asset.snipes.com/images/02573508_1/another-cotton-lab-another-signature-knit-sweater-beige-96716,89.99,89.99,ACL-261-KS-374-005,Another Signature Knit Sweater,https://www.snipes.com/it-it/p/another-cotton-lab-another-signature-knit-sweater-beige-96716,"{'S': {'availability': True, 'price': 89.99}, 'M': {'availability': True, 'price': 89.99}, 'L': {'availability': True, 'price': 89.99}, 'XL': {'availability': True, 'price': 89.99}}"
Nike,Apparel,Men,https://asset.snipes.com/images/02375329_1/nike-tech-fleece-windrunner-grigio-47019,119.99,119.99,HV0949-063,Tech Fleece Windrunner,https://www.snipes.com/it-it/p/nike-tech-fleece-windrunner-grigio-47019,"{'S': {'availability': True, 'price': 119.99}, 'M': {'availability': True, 'price': 119.99}, 'L': {'availability': True, 'price': 119.99}, 'XL': {'availability': True, 'price': 119.99}}"
Karl Kani,Apparel,Men,https://asset.snipes.com/images/02566839_1/karl-kani-jeans-cropped-silver-denim-jacket-grigio-96070,119.99,119.99,KM261-013-2,Jeans Cropped Silver Denim Jacket,https://www.snipes.com/it-it/p/karl-kani-jeans-cropped-silver-denim-jacket-grigio-96070,"{'S': {'availability': True, 'price': 119.99}, 'M': {'availability': True, 'price': 119.99}, 'L': {'availability': True, 'price': 119.99}, 'XL': {'availability': True, 'price': 119.99}}"
Nike Nocta,Apparel,Men,https://asset.snipes.com/images/02507367_1/nike-nocta-nrg-cs-fleece-hoodie-verde-49759,119.99,119.99,HM5762-370,NRG CS Fleece Hoodie,https://www.snipes.com/it-it/p/nike-nocta-nrg-cs-fleece-hoodie-verde-49759,"{'S': {'availability': True, 'price': 119.99}, 'M': {'availability': True, 'price': 119.99}, 'L': {'availability': True, 'price': 119.99}, 'XL': {'availability': True, 'price': 119.99}}"
SNIPES,Apparel,Men,https://asset.snipes.com/images/01924021_1/snipes-3-pack-3s-crew-s-whitenight-indigowhite-bianco-2065,9.99,9.99,1030P3-300,3 PACK - 3S CREW S  white/night indigo/white,https://www.snipes.com/it-it/p/snipes-3-pack-3s-crew-s-whitenight-indigowhite-bianco-2065,"{'35-38': {'availability': True, 'price': 9.99}, '39-42': {'availability': True, 'price': 9.99}, '43-46': {'availability': True, 'price': 9.99}}"
Under Armour,Apparel,Men,https://asset.snipes.com/images/02523377_1/under-armour-unstoppable-fleece-jogger-turchese-91688,99.99,99.99,1389353-587,Unstoppable Fleece Jogger,https://www.snipes.com/it-it/p/under-armour-unstoppable-fleece-jogger-turchese-91688,"{'S': {'availability': True, 'price': 99.99}, 'M': {'availability': True, 'price': 99.99}, 'L': {'availability': True, 'price': 99.99}, 'XL': {'availability': False, 'price': 99.99}}"
Pegador,Apparel,Men,https://asset.snipes.com/images/02364385_1/pegador-puka-teddy-half-zip-sweater-beige-44471,79.99,50.0,PGDR-1307-097,Puka Teddy Half Zip Sweater,https://www.snipes.com/it-it/p/pegador-puka-teddy-half-zip-sweater-beige-44471,"{'S': {'availability': True, 'price': 50.0}, 'M': {'availability': True, 'price': 50.0}, 'L': {'availability': True, 'price': 50.0}, 'XL': {'availability': False, 'price': 50.0}}"
